As of Date,Region,Total Patients Hospitalized,Total Patients in ICU
01/30/2021,NORTH COUNTRY,93,10
01/30/2021,SOUTHERN TIER,234,28
01/30/2021,WESTERN NEW YORK,392,97
01/31/2021,CAPITAL REGION,416,65
01/31/2021,CENTRAL NEW YORK,200,49
01/31/2021,FINGER LAKES,554,128
01/31/2021,LONG ISLAND,1405,241
01/31/2021,MID-HUDSON,933,141
01/31/2021,MOHAWK VALLEY,219,40
01/31/2021,NEW YORK CITY,3559,699
01/31/2021,NORTH COUNTRY,93,13
01/31/2021,SOUTHERN TIER,237,31
01/31/2021,WESTERN NEW YORK,387,93
02/01/2021,CAPITAL REGION,422,69
02/01/2021,CENTRAL NEW YORK,200,47
02/01/2021,FINGER LAKES,539,124
02/01/2021,LONG ISLAND,1415,235
02/01/2021,MID-HUDSON,930,139
02/01/2021,MOHAWK VALLEY,221,43
02/01/2021,NEW YORK CITY,3614,710
02/01/2021,NORTH COUNTRY,94,11
02/01/2021,SOUTHERN TIER,236,33
02/01/2021,WESTERN NEW YORK,396,92
02/02/2021,CAPITAL REGION,405,72
02/02/2021,CENTRAL NEW YORK,194,44
02/02/2021,FINGER LAKES,517,115
02/02/2021,LONG ISLAND,1418,239
02/02/2021,MID-HUDSON,957,143
02/02/2021,MOHAWK VALLEY,208,42
02/02/2021,NEW YORK CITY,3667,743
02/02/2021,NORTH COUNTRY,97,10
02/02/2021,SOUTHERN TIER,232,33
02/02/2021,WESTERN NEW YORK,387,81
02/03/2021,CAPITAL REGION,392,69
02/03/2021,CENTRAL NEW YORK,180,50
02/03/2021,FINGER LAKES,501,119
02/03/2021,LONG ISLAND,1383,228
02/03/2021,MID-HUDSON,926,131
02/03/2021,MOHAWK VALLEY,212,42
02/03/2021,NEW YORK CITY,3667,746
02/03/2021,NORTH COUNTRY,91,9
02/03/2021,SOUTHERN TIER,229,31
02/03/2021,WESTERN NEW YORK,386,81
02/04/2021,CAPITAL REGION,374,60
02/04/2021,CENTRAL NEW YORK,182,50
02/04/2021,FINGER LAKES,483,112
02/04/2021,LONG ISLAND,1382,228
02/04/2021,MID-HUDSON,919,130
02/04/2021,MOHAWK VALLEY,199,39
02/04/2021,NEW YORK CITY,3698,773
02/04/2021,NORTH COUNTRY,91,10
02/04/2021,SOUTHERN TIER,232,29
02/04/2021,WESTERN NEW YORK,377,85
02/05/2021,CAPITAL REGION,361,60
02/05/2021,CENTRAL NEW YORK,180,50
02/05/2021,FINGER LAKES,448,113
02/05/2021,LONG ISLAND,1366,226
02/05/2021,MID-HUDSON,899,131
02/05/2021,MOHAWK VALLEY,191,39
02/05/2021,NEW YORK CITY,3679,752
02/05/2021,NORTH COUNTRY,92,6
02/05/2021,SOUTHERN TIER,223,27
02/05/2021,WESTERN NEW YORK,365,77
02/06/2021,CAPITAL REGION,329,58
02/06/2021,CENTRAL NEW YORK,180,47
02/06/2021,FINGER LAKES,428,101
02/06/2021,LONG ISLAND,1340,245
02/06/2021,MID-HUDSON,853,131
02/06/2021,MOHAWK VALLEY,182,38
02/06/2021,NEW YORK CITY,3677,734
02/06/2021,NORTH COUNTRY,99,8
02/06/2021,SOUTHERN TIER,204,22
02/06/2021,WESTERN NEW YORK,357,75
02/07/2021,CAPITAL REGION,326,61
02/07/2021,CENTRAL NEW YORK,176,47
02/07/2021,FINGER LAKES,409,97
02/07/2021,LONG ISLAND,1339,244
02/07/2021,MID-HUDSON,870,126
02/07/2021,MOHAWK VALLEY,184,37
02/07/2021,NEW YORK CITY,3756,740
02/07/2021,NORTH COUNTRY,95,7
02/07/2021,SOUTHERN TIER,205,21
02/07/2021,WESTERN NEW YORK,356,74
02/08/2021,CAPITAL REGION,334,55
02/08/2021,CENTRAL NEW YORK,176,47
02/08/2021,FINGER LAKES,398,89
02/08/2021,LONG ISLAND,1370,234
02/08/2021,MID-HUDSON,875,127
02/08/2021,MOHAWK VALLEY,183,34
02/08/2021,NEW YORK CITY,3884,727
02/08/2021,NORTH COUNTRY,88,7
02/08/2021,SOUTHERN TIER,214,23
02/08/2021,WESTERN NEW YORK,353,69
02/09/2021,CAPITAL REGION,313,54
02/09/2021,CENTRAL NEW YORK,173,46
02/09/2021,FINGER LAKES,364,89
02/09/2021,LONG ISLAND,1327,236
02/09/2021,MID-HUDSON,828,130
02/09/2021,MOHAWK VALLEY,166,33
02/09/2021,NEW YORK CITY,3797,735
02/09/2021,NORTH COUNTRY,81,8
02/09/2021,SOUTHERN TIER,206,20
02/09/2021,WESTERN NEW YORK,338,72
02/10/2021,CAPITAL REGION,302,55
02/10/2021,CENTRAL NEW YORK,159,44
02/10/2021,FINGER LAKES,345,86
02/10/2021,LONG ISLAND,1292,232
02/10/2021,MID-HUDSON,808,124
02/10/2021,MOHAWK VALLEY,141,31
02/10/2021,NEW YORK CITY,3687,740
02/10/2021,NORTH COUNTRY,75,8
02/10/2021,SOUTHERN TIER,199,17
02/10/2021,WESTERN NEW YORK,334,65
02/11/2021,CAPITAL REGION,298,48
02/11/2021,CENTRAL NEW YORK,155,41
02/11/2021,FINGER LAKES,340,81
02/11/2021,LONG ISLAND,1231,226
02/11/2021,MID-HUDSON,763,121
02/11/2021,MOHAWK VALLEY,129,29
02/11/2021,NEW YORK CITY,3560,723
02/11/2021,NORTH COUNTRY,71,8
02/11/2021,SOUTHERN TIER,190,18
02/11/2021,WESTERN NEW YORK,331,63
02/12/2021,CAPITAL REGION,283,45
02/12/2021,CENTRAL NEW YORK,139,36
02/12/2021,FINGER LAKES,338,75
02/12/2021,LONG ISLAND,1202,223
02/12/2021,MID-HUDSON,732,122
02/12/2021,MOHAWK VALLEY,138,29
02/12/2021,NEW YORK CITY,3491,710
02/12/2021,NORTH COUNTRY,71,10
02/12/2021,SOUTHERN TIER,172,17
02/12/2021,WESTERN NEW YORK,322,61
02/13/2021,CAPITAL REGION,264,43
02/13/2021,CENTRAL NEW YORK,129,32
02/13/2021,FINGER LAKES,323,74
02/13/2021,LONG ISLAND,1136,210
02/13/2021,MID-HUDSON,698,116
02/13/2021,MOHAWK VALLEY,131,25
02/13/2021,NEW YORK CITY,3397,704
02/13/2021,NORTH COUNTRY,66,7
02/13/2021,SOUTHERN TIER,156,15
02/13/2021,WESTERN NEW YORK,293,59
02/14/2021,CAPITAL REGION,248,39
02/14/2021,CENTRAL NEW YORK,129,31
02/14/2021,FINGER LAKES,325,72
02/14/2021,LONG ISLAND,1115,202
02/14/2021,MID-HUDSON,688,112
02/14/2021,MOHAWK VALLEY,140,27
02/14/2021,NEW YORK CITY,3476,705
02/14/2021,NORTH COUNTRY,68,7
02/14/2021,SOUTHERN TIER,154,17
02/14/2021,WESTERN NEW YORK,280,58
02/15/2021,CAPITAL REGION,241,40
02/15/2021,CENTRAL NEW YORK,128,27
02/15/2021,FINGER LAKES,301,74
02/15/2021,LONG ISLAND,1110,198
02/15/2021,MID-HUDSON,697,100
02/15/2021,MOHAWK VALLEY,139,31
02/15/2021,NEW YORK CITY,3494,714
02/15/2021,NORTH COUNTRY,72,8
02/15/2021,SOUTHERN TIER,161,12
02/15/2021,WESTERN NEW YORK,277,67
02/16/2021,CAPITAL REGION,219,41
02/16/2021,CENTRAL NEW YORK,121,24
02/16/2021,FINGER LAKES,281,73
02/16/2021,LONG ISLAND,1123,199
02/16/2021,MID-HUDSON,691,98
02/16/2021,MOHAWK VALLEY,133,27
02/16/2021,NEW YORK CITY,3530,728
02/16/2021,NORTH COUNTRY,74,7
02/16/2021,SOUTHERN TIER,145,11
02/16/2021,WESTERN NEW YORK,257,65
02/17/2021,CAPITAL REGION,214,43
02/17/2021,CENTRAL NEW YORK,114,21
02/17/2021,FINGER LAKES,265,71
02/17/2021,LONG ISLAND,1111,200
02/17/2021,MID-HUDSON,669,106
02/17/2021,MOHAWK VALLEY,125,23
02/17/2021,NEW YORK CITY,3450,708
02/17/2021,NORTH COUNTRY,71,8
02/17/2021,SOUTHERN TIER,152,9
02/17/2021,WESTERN NEW YORK,263,69
02/18/2021,CAPITAL REGION,206,37
02/18/2021,CENTRAL NEW YORK,106,19
02/18/2021,FINGER LAKES,237,65
02/18/2021,LONG ISLAND,1049,190
02/18/2021,MID-HUDSON,644,102
02/18/2021,MOHAWK VALLEY,115,23
02/18/2021,NEW YORK CITY,3314,677
02/18/2021,NORTH COUNTRY,80,9
02/18/2021,SOUTHERN TIER,143,14
02/18/2021,WESTERN NEW YORK,261,63
02/19/2021,CAPITAL REGION,185,38
02/19/2021,CENTRAL NEW YORK,101,18
02/19/2021,FINGER LAKES,215,63
02/19/2021,LONG ISLAND,1013,190
02/19/2021,MID-HUDSON,634,101
02/19/2021,MOHAWK VALLEY,116,19
02/19/2021,NEW YORK CITY,3236,657
02/19/2021,NORTH COUNTRY,80,8
02/19/2021,SOUTHERN TIER,139,12
02/19/2021,WESTERN NEW YORK,258,56
02/20/2021,CAPITAL REGION,168,35
02/20/2021,CENTRAL NEW YORK,95,18
02/20/2021,FINGER LAKES,213,58
02/20/2021,LONG ISLAND,983,190
02/20/2021,MID-HUDSON,606,102
02/20/2021,MOHAWK VALLEY,109,19
02/20/2021,NEW YORK CITY,3130,667
02/20/2021,NORTH COUNTRY,74,8
02/20/2021,SOUTHERN TIER,134,9
02/20/2021,WESTERN NEW YORK,252,56
02/21/2021,CAPITAL REGION,168,32
02/21/2021,CENTRAL NEW YORK,90,18
02/21/2021,FINGER LAKES,225,59
02/21/2021,LONG ISLAND,986,186
02/21/2021,MID-HUDSON,605,99
02/21/2021,MOHAWK VALLEY,113,20
02/21/2021,NEW YORK CITY,3166,661
02/21/2021,NORTH COUNTRY,72,11
02/21/2021,SOUTHERN TIER,134,7
02/21/2021,WESTERN NEW YORK,245,55
02/22/2021,CAPITAL REGION,166,31
02/22/2021,CENTRAL NEW YORK,92,15
02/22/2021,FINGER LAKES,218,63
02/22/2021,LONG ISLAND,1024,192
02/22/2021,MID-HUDSON,617,101
02/22/2021,MOHAWK VALLEY,116,18
02/22/2021,NEW YORK CITY,3298,686
02/22/2021,NORTH COUNTRY,68,7
02/22/2021,SOUTHERN TIER,136,10
02/22/2021,WESTERN NEW YORK,242,53
02/23/2021,CAPITAL REGION,167,33
02/23/2021,CENTRAL NEW YORK,83,16
02/23/2021,FINGER LAKES,225,68
02/23/2021,LONG ISLAND,1005,190
02/23/2021,MID-HUDSON,611,107
02/23/2021,MOHAWK VALLEY,105,16
02/23/2021,NEW YORK CITY,3252,657
02/23/2021,NORTH COUNTRY,74,8
02/23/2021,SOUTHERN TIER,130,11
02/23/2021,WESTERN NEW YORK,224,48
02/24/2021,CAPITAL REGION,162,34
02/24/2021,CENTRAL NEW YORK,75,12
02/24/2021,FINGER LAKES,224,64
02/24/2021,LONG ISLAND,960,188
02/24/2021,MID-HUDSON,600,97
02/24/2021,MOHAWK VALLEY,94,17
02/24/2021,NEW YORK CITY,3190,651
02/24/2021,NORTH COUNTRY,67,8
02/24/2021,SOUTHERN TIER,127,12
02/24/2021,WESTERN NEW YORK,204,41
02/25/2021,CAPITAL REGION,156,28
02/25/2021,CENTRAL NEW YORK,70,11
02/25/2021,FINGER LAKES,214,66
02/25/2021,LONG ISLAND,944,186
02/25/2021,MID-HUDSON,577,94
02/25/2021,MOHAWK VALLEY,93,18
02/25/2021,NEW YORK CITY,3193,663
02/25/2021,NORTH COUNTRY,64,10
02/25/2021,SOUTHERN TIER,114,12
02/25/2021,WESTERN NEW YORK,201,44
02/26/2021,CAPITAL REGION,139,24
02/26/2021,CENTRAL NEW YORK,64,11
02/26/2021,FINGER LAKES,210,69
02/26/2021,LONG ISLAND,935,189
02/26/2021,MID-HUDSON,560,93
02/26/2021,MOHAWK VALLEY,87,13
02/26/2021,NEW YORK CITY,3080,659
02/26/2021,NORTH COUNTRY,66,7
02/26/2021,SOUTHERN TIER,110,14
02/26/2021,WESTERN NEW YORK,194,42
02/27/2021,CAPITAL REGION,125,18
02/27/2021,CENTRAL NEW YORK,59,10
02/27/2021,FINGER LAKES,195,62
02/27/2021,LONG ISLAND,896,185
02/27/2021,MID-HUDSON,538,94
02/27/2021,MOHAWK VALLEY,75,13
02/27/2021,NEW YORK CITY,3000,633
02/27/2021,NORTH COUNTRY,71,8
02/27/2021,SOUTHERN TIER,104,15
02/27/2021,WESTERN NEW YORK,196,45
02/28/2021,CAPITAL REGION,123,17
02/28/2021,CENTRAL NEW YORK,61,9
02/28/2021,FINGER LAKES,197,60
02/28/2021,LONG ISLAND,902,186
02/28/2021,MID-HUDSON,556,93
02/28/2021,MOHAWK VALLEY,73,13
02/28/2021,NEW YORK CITY,3036,621
02/28/2021,NORTH COUNTRY,66,7
02/28/2021,SOUTHERN TIER,103,15
02/28/2021,WESTERN NEW YORK,190,44
03/01/2021,CAPITAL REGION,134,22
03/01/2021,CENTRAL NEW YORK,59,10
03/01/2021,FINGER LAKES,187,58
03/01/2021,LONG ISLAND,910,177
03/01/2021,MID-HUDSON,565,89
03/01/2021,MOHAWK VALLEY,75,21
03/01/2021,NEW YORK CITY,3084,631
03/01/2021,NORTH COUNTRY,65,8
03/01/2021,SOUTHERN TIER,102,15
03/01/2021,WESTERN NEW YORK,188,45
03/02/2021,CAPITAL REGION,132,25
03/02/2021,CENTRAL NEW YORK,59,10
03/02/2021,FINGER LAKES,177,54
03/02/2021,LONG ISLAND,922,174
03/02/2021,MID-HUDSON,556,80
03/02/2021,MOHAWK VALLEY,78,14
03/02/2021,NEW YORK CITY,3067,622
03/02/2021,NORTH COUNTRY,60,6
03/02/2021,SOUTHERN TIER,94,14
03/02/2021,WESTERN NEW YORK,178,48
03/03/2021,CAPITAL REGION,118,30
03/03/2021,CENTRAL NEW YORK,58,11
03/03/2021,FINGER LAKES,181,53
03/03/2021,LONG ISLAND,885,165
03/03/2021,MID-HUDSON,546,84
03/03/2021,MOHAWK VALLEY,77,13
03/03/2021,NEW YORK CITY,2997,627
03/03/2021,NORTH COUNTRY,56,6
03/03/2021,SOUTHERN TIER,77,11
03/03/2021,WESTERN NEW YORK,182,43
03/04/2021,CAPITAL REGION,117,27
03/04/2021,CENTRAL NEW YORK,52,13
03/04/2021,FINGER LAKES,187,55
03/04/2021,LONG ISLAND,853,165
03/04/2021,MID-HUDSON,520,79
03/04/2021,MOHAWK VALLEY,75,10
03/04/2021,NEW YORK CITY,2936,626
03/04/2021,NORTH COUNTRY,51,4
03/04/2021,SOUTHERN TIER,74,8
03/04/2021,WESTERN NEW YORK,169,43
03/05/2021,CAPITAL REGION,106,25
03/05/2021,CENTRAL NEW YORK,48,12
03/05/2021,FINGER LAKES,174,54
03/05/2021,LONG ISLAND,834,160
03/05/2021,MID-HUDSON,497,73
03/05/2021,MOHAWK VALLEY,76,9
03/05/2021,NEW YORK CITY,2926,627
03/05/2021,NORTH COUNTRY,51,6
03/05/2021,SOUTHERN TIER,83,9
03/05/2021,WESTERN NEW YORK,159,37
03/06/2021,CAPITAL REGION,106,23
03/06/2021,CENTRAL NEW YORK,49,11
03/06/2021,FINGER LAKES,165,46
03/06/2021,LONG ISLAND,814,160
03/06/2021,MID-HUDSON,472,78
03/06/2021,MOHAWK VALLEY,73,7
03/06/2021,NEW YORK CITY,2826,631
03/06/2021,NORTH COUNTRY,45,3
03/06/2021,SOUTHERN TIER,80,7
03/06/2021,WESTERN NEW YORK,159,33
03/07/2021,CAPITAL REGION,101,23
03/07/2021,CENTRAL NEW YORK,47,12
03/07/2021,FINGER LAKES,156,43
03/07/2021,LONG ISLAND,818,157
03/07/2021,MID-HUDSON,490,81
03/07/2021,MOHAWK VALLEY,69,9
03/07/2021,NEW YORK CITY,2872,637
03/07/2021,NORTH COUNTRY,45,3
03/07/2021,SOUTHERN TIER,86,8
03/07/2021,WESTERN NEW YORK,146,32
03/08/2021,CAPITAL REGION,101,26
03/08/2021,CENTRAL NEW YORK,49,12
03/08/2021,FINGER LAKES,146,43
03/08/2021,LONG ISLAND,834,166
03/08/2021,MID-HUDSON,490,87
03/08/2021,MOHAWK VALLEY,66,9
03/08/2021,NEW YORK CITY,2931,626
03/08/2021,NORTH COUNTRY,43,4
03/08/2021,SOUTHERN TIER,90,8
03/08/2021,WESTERN NEW YORK,149,30
03/09/2021,CAPITAL REGION,95,25
03/09/2021,CENTRAL NEW YORK,46,12
03/09/2021,FINGER LAKES,158,40
03/09/2021,LONG ISLAND,814,157
03/09/2021,MID-HUDSON,470,84
03/09/2021,MOHAWK VALLEY,64,8
03/09/2021,NEW YORK CITY,2885,635
03/09/2021,NORTH COUNTRY,39,4
03/09/2021,SOUTHERN TIER,89,9
03/09/2021,WESTERN NEW YORK,138,25
03/10/2021,CAPITAL REGION,92,22
03/10/2021,CENTRAL NEW YORK,44,11
03/10/2021,FINGER LAKES,155,41
03/10/2021,LONG ISLAND,800,140
03/10/2021,MID-HUDSON,451,79
03/10/2021,MOHAWK VALLEY,60,10
03/10/2021,NEW YORK CITY,2854,615
03/10/2021,NORTH COUNTRY,34,3
03/10/2021,SOUTHERN TIER,91,8
03/10/2021,WESTERN NEW YORK,154,26
03/11/2021,CAPITAL REGION,97,24
03/11/2021,CENTRAL NEW YORK,44,11
03/11/2021,FINGER LAKES,153,38
03/11/2021,LONG ISLAND,785,139
03/11/2021,MID-HUDSON,441,82
03/11/2021,MOHAWK VALLEY,61,12
03/11/2021,NEW YORK CITY,2781,586
03/11/2021,NORTH COUNTRY,33,4
03/11/2021,SOUTHERN TIER,89,12
03/11/2021,WESTERN NEW YORK,150,27
03/12/2021,CAPITAL REGION,99,27
03/12/2021,CENTRAL NEW YORK,43,11
03/12/2021,FINGER LAKES,147,38
03/12/2021,LONG ISLAND,792,155
03/12/2021,MID-HUDSON,449,87
03/12/2021,MOHAWK VALLEY,58,11
03/12/2021,NEW YORK CITY,2760,584
03/12/2021,NORTH COUNTRY,34,6
03/12/2021,SOUTHERN TIER,80,6
03/12/2021,WESTERN NEW YORK,155,28
03/13/2021,CAPITAL REGION,94,29
03/13/2021,CENTRAL NEW YORK,37,8
03/13/2021,FINGER LAKES,143,37
03/13/2021,LONG ISLAND,782,145
03/13/2021,MID-HUDSON,458,88
03/13/2021,MOHAWK VALLEY,57,11
03/13/2021,NEW YORK CITY,2656,566
03/13/2021,NORTH COUNTRY,30,6
03/13/2021,SOUTHERN TIER,74,6
03/13/2021,WESTERN NEW YORK,155,31
03/14/2021,CAPITAL REGION,104,27
03/14/2021,CENTRAL NEW YORK,43,9
03/14/2021,FINGER LAKES,146,39
03/14/2021,LONG ISLAND,800,148
03/14/2021,MID-HUDSON,463,82
03/14/2021,MOHAWK VALLEY,60,12
03/14/2021,NEW YORK CITY,2642,562
03/14/2021,NORTH COUNTRY,28,6
03/14/2021,SOUTHERN TIER,75,8
03/14/2021,WESTERN NEW YORK,156,30
03/15/2021,CAPITAL REGION,98,29
03/15/2021,CENTRAL NEW YORK,45,10
03/15/2021,FINGER LAKES,148,39
03/15/2021,LONG ISLAND,834,157
03/15/2021,MID-HUDSON,487,83
03/15/2021,MOHAWK VALLEY,67,13
03/15/2021,NEW YORK CITY,2718,569
03/15/2021,NORTH COUNTRY,26,3
03/15/2021,SOUTHERN TIER,78,8
03/15/2021,WESTERN NEW YORK,156,32
03/16/2021,CAPITAL REGION,95,25
03/16/2021,CENTRAL NEW YORK,44,12
03/16/2021,FINGER LAKES,139,39
03/16/2021,LONG ISLAND,826,153
03/16/2021,MID-HUDSON,494,79
03/16/2021,MOHAWK VALLEY,64,14
03/16/2021,NEW YORK CITY,2708,584
03/16/2021,NORTH COUNTRY,27,4
03/16/2021,SOUTHERN TIER,76,9
03/16/2021,WESTERN NEW YORK,151,35
03/17/2021,CAPITAL REGION,90,29
03/17/2021,CENTRAL NEW YORK,40,12
03/17/2021,FINGER LAKES,134,38
03/17/2021,LONG ISLAND,812,147
03/17/2021,MID-HUDSON,499,82
03/17/2021,MOHAWK VALLEY,63,13
03/17/2021,NEW YORK CITY,2646,567
03/17/2021,NORTH COUNTRY,27,4
03/17/2021,SOUTHERN TIER,74,9
03/17/2021,WESTERN NEW YORK,151,33
03/18/2021,CAPITAL REGION,99,28
03/18/2021,CENTRAL NEW YORK,38,12
03/18/2021,FINGER LAKES,142,37
03/18/2021,LONG ISLAND,801,143
03/18/2021,MID-HUDSON,513,85
03/18/2021,MOHAWK VALLEY,62,12
03/18/2021,NEW YORK CITY,2628,560
03/18/2021,NORTH COUNTRY,23,2
03/18/2021,SOUTHERN TIER,73,11
03/18/2021,WESTERN NEW YORK,148,34
03/19/2021,CAPITAL REGION,95,23
03/19/2021,CENTRAL NEW YORK,39,10
03/19/2021,FINGER LAKES,137,32
03/19/2021,LONG ISLAND,825,150
03/19/2021,MID-HUDSON,506,78
03/19/2021,MOHAWK VALLEY,58,10
03/19/2021,NEW YORK CITY,2616,563
03/19/2021,NORTH COUNTRY,19,2
03/19/2021,SOUTHERN TIER,76,9
03/19/2021,WESTERN NEW YORK,142,32
03/20/2021,CAPITAL REGION,95,24
03/20/2021,CENTRAL NEW YORK,41,11
03/20/2021,FINGER LAKES,133,30
03/20/2021,LONG ISLAND,781,142
03/20/2021,MID-HUDSON,477,80
03/20/2021,MOHAWK VALLEY,58,11
03/20/2021,NEW YORK CITY,2540,549
03/20/2021,NORTH COUNTRY,17,2
03/20/2021,SOUTHERN TIER,76,9
03/20/2021,WESTERN NEW YORK,137,32
03/21/2021,CAPITAL REGION,92,21
03/21/2021,CENTRAL NEW YORK,40,10
03/21/2021,FINGER LAKES,129,25
03/21/2021,LONG ISLAND,787,142
03/21/2021,MID-HUDSON,499,80
03/21/2021,MOHAWK VALLEY,57,9
03/21/2021,NEW YORK CITY,2626,553
03/21/2021,NORTH COUNTRY,17,2
03/21/2021,SOUTHERN TIER,75,9
03/21/2021,WESTERN NEW YORK,148,34
03/22/2021,CAPITAL REGION,106,26
03/22/2021,CENTRAL NEW YORK,46,13
03/22/2021,FINGER LAKES,141,29
03/22/2021,LONG ISLAND,814,140
03/22/2021,MID-HUDSON,522,83
03/22/2021,MOHAWK VALLEY,54,9
03/22/2021,NEW YORK CITY,2747,577
03/22/2021,NORTH COUNTRY,20,2
03/22/2021,SOUTHERN TIER,71,11
03/22/2021,WESTERN NEW YORK,160,35
03/23/2021,CAPITAL REGION,110,28
03/23/2021,CENTRAL NEW YORK,43,11
03/23/2021,FINGER LAKES,128,28
03/23/2021,LONG ISLAND,814,148
03/23/2021,MID-HUDSON,551,84
03/23/2021,MOHAWK VALLEY,53,5
03/23/2021,NEW YORK CITY,2689,565
03/23/2021,NORTH COUNTRY,17,2
03/23/2021,SOUTHERN TIER,73,10
03/23/2021,WESTERN NEW YORK,163,37
03/24/2021,CAPITAL REGION,107,30
03/24/2021,CENTRAL NEW YORK,39,11
03/24/2021,FINGER LAKES,119,29
03/24/2021,LONG ISLAND,806,156
03/24/2021,MID-HUDSON,549,86
03/24/2021,MOHAWK VALLEY,51,5
03/24/2021,NEW YORK CITY,2670,563
03/24/2021,NORTH COUNTRY,15,2
03/24/2021,SOUTHERN TIER,76,13
03/24/2021,WESTERN NEW YORK,168,36
03/25/2021,CAPITAL REGION,112,35
03/25/2021,CENTRAL NEW YORK,40,13
03/25/2021,FINGER LAKES,143,32
03/25/2021,LONG ISLAND,801,154
03/25/2021,MID-HUDSON,558,84
03/25/2021,MOHAWK VALLEY,48,4
03/25/2021,NEW YORK CITY,2637,543
03/25/2021,NORTH COUNTRY,16,2
03/25/2021,SOUTHERN TIER,78,10
03/25/2021,WESTERN NEW YORK,170,36
03/26/2021,CAPITAL REGION,108,29
03/26/2021,CENTRAL NEW YORK,42,12
03/26/2021,FINGER LAKES,147,33
03/26/2021,LONG ISLAND,817,159
03/26/2021,MID-HUDSON,531,79
03/26/2021,MOHAWK VALLEY,42,4
03/26/2021,NEW YORK CITY,2620,532
03/26/2021,NORTH COUNTRY,19,3
03/26/2021,SOUTHERN TIER,67,6
03/26/2021,WESTERN NEW YORK,185,39
03/27/2021,CAPITAL REGION,107,29
03/27/2021,CENTRAL NEW YORK,47,14
03/27/2021,FINGER LAKES,147,30
03/27/2021,LONG ISLAND,801,155
03/27/2021,MID-HUDSON,523,77
03/27/2021,MOHAWK VALLEY,46,6
03/27/2021,NEW YORK CITY,2583,517
03/27/2021,NORTH COUNTRY,19,1
03/27/2021,SOUTHERN TIER,67,9
03/27/2021,WESTERN NEW YORK,189,39
03/28/2021,CAPITAL REGION,107,30
03/28/2021,CENTRAL NEW YORK,47,12
03/28/2021,FINGER LAKES,151,29
03/28/2021,LONG ISLAND,793,149
03/28/2021,MID-HUDSON,546,79
03/28/2021,MOHAWK VALLEY,50,6
03/28/2021,NEW YORK CITY,2606,530
03/28/2021,NORTH COUNTRY,19,1
03/28/2021,SOUTHERN TIER,66,9
03/28/2021,WESTERN NEW YORK,190,45
03/29/2021,CAPITAL REGION,108,31
03/29/2021,CENTRAL NEW YORK,50,14
03/29/2021,FINGER LAKES,159,33
03/29/2021,LONG ISLAND,827,141
03/29/2021,MID-HUDSON,556,84
03/29/2021,MOHAWK VALLEY,52,6
03/29/2021,NEW YORK CITY,2670,534
03/29/2021,NORTH COUNTRY,18,0
03/29/2021,SOUTHERN TIER,69,10
03/29/2021,WESTERN NEW YORK,206,50
03/30/2021,CAPITAL REGION,100,31
03/30/2021,CENTRAL NEW YORK,47,14
03/30/2021,FINGER LAKES,161,32
03/30/2021,LONG ISLAND,782,137
03/30/2021,MID-HUDSON,539,80
03/30/2021,MOHAWK VALLEY,56,11
03/30/2021,NEW YORK CITY,2651,528
03/30/2021,NORTH COUNTRY,20,1
03/30/2021,SOUTHERN TIER,75,9
03/30/2021,WESTERN NEW YORK,220,56
03/31/2021,CAPITAL REGION,101,32
03/31/2021,CENTRAL NEW YORK,49,15
03/31/2021,FINGER LAKES,159,29
03/31/2021,LONG ISLAND,780,140
03/31/2021,MID-HUDSON,543,84
03/31/2021,MOHAWK VALLEY,62,15
03/31/2021,NEW YORK CITY,2592,513
03/31/2021,NORTH COUNTRY,24,3
03/31/2021,SOUTHERN TIER,74,7
03/31/2021,WESTERN NEW YORK,220,56
04/01/2021,CAPITAL REGION,101,30
04/01/2021,CENTRAL NEW YORK,48,16
04/01/2021,FINGER LAKES,149,30
04/01/2021,LONG ISLAND,786,150
04/01/2021,MID-HUDSON,542,82
04/01/2021,MOHAWK VALLEY,61,14
04/01/2021,NEW YORK CITY,2538,523
04/01/2021,NORTH COUNTRY,20,1
04/01/2021,SOUTHERN TIER,75,9
04/01/2021,WESTERN NEW YORK,220,58
04/02/2021,CAPITAL REGION,100,28
04/02/2021,CENTRAL NEW YORK,43,11
04/02/2021,FINGER LAKES,150,38
04/02/2021,LONG ISLAND,775,154
04/02/2021,MID-HUDSON,548,76
04/02/2021,MOHAWK VALLEY,67,14
04/02/2021,NEW YORK CITY,2485,512
04/02/2021,NORTH COUNTRY,21,1
04/02/2021,SOUTHERN TIER,72,10
04/02/2021,WESTERN NEW YORK,230,58
04/03/2021,CAPITAL REGION,100,26
04/03/2021,CENTRAL NEW YORK,42,13
04/03/2021,FINGER LAKES,145,34
04/03/2021,LONG ISLAND,756,156
04/03/2021,MID-HUDSON,521,76
04/03/2021,MOHAWK VALLEY,69,10
04/03/2021,NEW YORK CITY,2418,500
04/03/2021,NORTH COUNTRY,22,2
04/03/2021,SOUTHERN TIER,67,8
04/03/2021,WESTERN NEW YORK,233,57
04/04/2021,CAPITAL REGION,98,26
04/04/2021,CENTRAL NEW YORK,46,14
04/04/2021,FINGER LAKES,165,39
04/04/2021,LONG ISLAND,770,162
04/04/2021,MID-HUDSON,512,79
04/04/2021,MOHAWK VALLEY,68,11
04/04/2021,NEW YORK CITY,2444,503
04/04/2021,NORTH COUNTRY,21,1
04/04/2021,SOUTHERN TIER,70,7
