As of Date,Region,Total Patients Hospitalized,Total Patients in ICU
04/27/2020,FINGER LAKES,140,40
04/27/2020,LONG ISLAND,2541,801
04/27/2020,MID-HUDSON,1445,436
04/27/2020,MOHAWK VALLEY,47,22
04/27/2020,NEW YORK CITY,7995,2583
04/27/2020,NORTH COUNTRY,17,6
04/27/2020,SOUTHERN TIER,27,11
04/27/2020,WESTERN NEW YORK,237,110
04/28/2020,CAPITAL REGION,151,51
04/28/2020,CENTRAL NEW YORK,34,13
04/28/2020,FINGER LAKES,129,37
04/28/2020,LONG ISLAND,2415,743
04/28/2020,MID-HUDSON,1415,430
04/28/2020,MOHAWK VALLEY,44,18
04/28/2020,NEW YORK CITY,7667,2497
04/28/2020,NORTH COUNTRY,16,6
04/28/2020,SOUTHERN TIER,25,10
04/28/2020,WESTERN NEW YORK,263,118
04/29/2020,CAPITAL REGION,149,50
04/29/2020,CENTRAL NEW YORK,35,11
04/29/2020,FINGER LAKES,129,35
04/29/2020,LONG ISLAND,2262,716
04/29/2020,MID-HUDSON,1346,406
04/29/2020,MOHAWK VALLEY,42,20
04/29/2020,NEW YORK CITY,7338,2405
04/29/2020,NORTH COUNTRY,17,7
04/29/2020,SOUTHERN TIER,23,9
04/29/2020,WESTERN NEW YORK,257,110
04/30/2020,CAPITAL REGION,137,52
04/30/2020,CENTRAL NEW YORK,33,10
04/30/2020,FINGER LAKES,127,35
04/30/2020,LONG ISLAND,2121,690
04/30/2020,MID-HUDSON,1284,383
04/30/2020,MOHAWK VALLEY,36,16
04/30/2020,NEW YORK CITY,6962,2327
04/30/2020,NORTH COUNTRY,14,8
04/30/2020,SOUTHERN TIER,20,9
04/30/2020,WESTERN NEW YORK,259,110
05/01/2020,CAPITAL REGION,137,49
05/01/2020,CENTRAL NEW YORK,31,11
05/01/2020,FINGER LAKES,127,31
05/01/2020,LONG ISLAND,2012,680
05/01/2020,MID-HUDSON,1227,368
05/01/2020,MOHAWK VALLEY,36,17
05/01/2020,NEW YORK CITY,6497,2227
05/01/2020,NORTH COUNTRY,14,5
05/01/2020,SOUTHERN TIER,21,8
05/01/2020,WESTERN NEW YORK,248,105
05/02/2020,CAPITAL REGION,131,52
05/02/2020,CENTRAL NEW YORK,31,11
05/02/2020,FINGER LAKES,123,30
05/02/2020,LONG ISLAND,1902,669
05/02/2020,MID-HUDSON,1170,359
05/02/2020,MOHAWK VALLEY,38,16
05/02/2020,NEW YORK CITY,6109,2181
05/02/2020,NORTH COUNTRY,14,2
05/02/2020,SOUTHERN TIER,20,8
05/02/2020,WESTERN NEW YORK,248,102
05/03/2020,CAPITAL REGION,133,53
05/03/2020,CENTRAL NEW YORK,42,12
05/03/2020,FINGER LAKES,128,33
05/03/2020,LONG ISLAND,1846,653
05/03/2020,MID-HUDSON,1155,351
05/03/2020,MOHAWK VALLEY,37,18
05/03/2020,NEW YORK CITY,6021,2096
05/03/2020,NORTH COUNTRY,12,1
05/03/2020,SOUTHERN TIER,23,10
05/03/2020,WESTERN NEW YORK,250,103
05/04/2020,CAPITAL REGION,135,48
05/04/2020,CENTRAL NEW YORK,44,10
05/04/2020,FINGER LAKES,132,33
05/04/2020,LONG ISLAND,1849,621
05/04/2020,MID-HUDSON,1154,346
05/04/2020,MOHAWK VALLEY,38,20
05/04/2020,NEW YORK CITY,5954,2090
05/04/2020,NORTH COUNTRY,12,1
05/04/2020,SOUTHERN TIER,25,10
05/04/2020,WESTERN NEW YORK,257,102
05/05/2020,CAPITAL REGION,129,46
05/05/2020,CENTRAL NEW YORK,44,10
05/05/2020,FINGER LAKES,131,33
05/05/2020,LONG ISLAND,1747,601
05/05/2020,MID-HUDSON,1088,333
05/05/2020,MOHAWK VALLEY,38,19
05/05/2020,NEW YORK CITY,5739,1947
05/05/2020,NORTH COUNTRY,9,1
05/05/2020,SOUTHERN TIER,21,7
05/05/2020,WESTERN NEW YORK,233,101
05/06/2020,CAPITAL REGION,118,44
05/06/2020,CENTRAL NEW YORK,47,10
05/06/2020,FINGER LAKES,131,32
05/06/2020,LONG ISLAND,1632,598
05/06/2020,MID-HUDSON,1023,311
05/06/2020,MOHAWK VALLEY,35,14
05/06/2020,NEW YORK CITY,5427,1869
05/06/2020,NORTH COUNTRY,9,1
05/06/2020,SOUTHERN TIER,21,7
05/06/2020,WESTERN NEW YORK,222,90
05/07/2020,CAPITAL REGION,111,44
05/07/2020,CENTRAL NEW YORK,56,11
05/07/2020,FINGER LAKES,123,33
05/07/2020,LONG ISLAND,1570,545
05/07/2020,MID-HUDSON,962,291
05/07/2020,MOHAWK VALLEY,34,13
05/07/2020,NEW YORK CITY,5100,1782
05/07/2020,NORTH COUNTRY,9,1
05/07/2020,SOUTHERN TIER,21,8
05/07/2020,WESTERN NEW YORK,210,83
05/08/2020,CAPITAL REGION,107,39
05/08/2020,CENTRAL NEW YORK,54,12
05/08/2020,FINGER LAKES,126,34
05/08/2020,LONG ISLAND,1476,501
05/08/2020,MID-HUDSON,920,269
05/08/2020,MOHAWK VALLEY,33,14
05/08/2020,NEW YORK CITY,4826,1701
05/08/2020,NORTH COUNTRY,8,1
05/08/2020,SOUTHERN TIER,24,9
